DateTime,Text,URL,Reply,Retweet,Like,QuoteTweet
2021-7-16 22:00,@Lycolia エレベーターはスタックエスカレーターはキュー,https://twitter.com/skytomo221/status/1416019835025125377,0,0,1,0
2021-7-16 14:00,@Ake_natu なるほど、たしかにそう言われてみるとおいしそうです,https://twitter.com/skytomo221/status/1415899057940099072,1,0,1,0
2021-7-19 21:21,昨日の日記。VRChatをしたり、ロシア語とオランダ語をしたり、Life 4 Dead 2（ゾンビゲーム）をしたり、色々しました。https://t.co/pEdA59f4nb,https://twitter.com/skytomo221/status/1417097202086780928,0,0,2,0
2021-7-20 22:08,昨日の https://t.co/XMceVCDGCK,https://twitter.com/skytomo221/status/1417471457987227656,2,0,3,0
2021-5-13 20:29,はてなブログくん、Twitterで埋め込みしてくれないの、なんで？,https://twitter.com/skytomo221/status/1392804231241900038,0,1,2,1
2021-7-21 11:35,取り敢えずフォローはした,https://twitter.com/skytomo221/status/1417674603883732994,0,0,2,0
2021-7-20 0:01,これ無限にわかる,https://twitter.com/skytomo221/status/1417137521750810625,0,0,1,0
2021-7-17 10:02,@Lycolia おいしそう…！,https://twitter.com/skytomo221/status/1416201508689891328,0,0,1,0
2021-7-21 11:45,xargsわからない、半年ROMらなきゃ,https://twitter.com/skytomo221/status/1417677127395069959,0,0,6,0
2021-7-20 22:08,https://t.co/IBhHVoVxU2,https://twitter.com/skytomo221/status/1417471568041562114,0,0,1,0
2021-7-16 21:58,にゃんにゃん,https://twitter.com/skytomo221/status/1416019340093054983,1,0,2,0
2021-7-16 13:45,@Ake_natu ポテチ…？,https://twitter.com/skytomo221/status/1415895243187097600,0,0,1,1
2021-7-17 13:44,@Kasagone やるやるw,https://twitter.com/skytomo221/status/1416257501264187395,1,0,0,0
2021-7-19 20:39,"これ、はてなブログに問い合わせたところ、自分で、&lt;meta name=""twitter:card"" content=""summary_image""&gt;を追加していたせいで、うまくTwitterカードが表示されてなかったようです。自分でなんでこれを追加したのか覚えていませんが、同じことで困っていたら確認してみてください。",https://twitter.com/skytomo221/status/1417086587284844553,0,0,2,0
2021-7-21 11:29,"python -c 'print("" "".join(""あほくさ""))' #シェル芸",https://twitter.com/skytomo221/status/1417673170429964288,0,0,3,0
2021-7-18 16:41,@YurutoVRC えらい！頑張ってくださいね～,https://twitter.com/skytomo221/status/1416664306939097088,1,0,0,0
2021-7-16 12:16,叫ぶなら今のうちだぞ https://t.co/xObNFmk4Kz,https://twitter.com/skytomo221/status/1415873021517066240,0,0,6,0
2021-7-19 12:43,@muniena .i donri coi~,https://twitter.com/skytomo221/status/1416966958923145216,1,0,0,0
2021-7-21 11:31,んーもしかしてフォローしてないといけない？,https://twitter.com/skytomo221/status/1417673524269883397,0,0,1,0
2021-7-16 21:57,見てたぞ?? https://t.co/x3epJf9XFN,https://twitter.com/skytomo221/status/1416019267951095810,1,0,3,0
2021-7-16 8:23,@mizuwumi iffを「いふふ」って読む人もいますね,https://twitter.com/skytomo221/status/1415814350481199105,1,0,5,0
2021-7-14 7:10,@Ake_natu おはようございます！,https://twitter.com/skytomo221/status/1415071087277187073,1,0,1,0
2021-7-14 11:36,oomとは https://t.co/62tvQahPtn,https://twitter.com/skytomo221/status/1415138035302158336,1,0,5,0
2021-7-16 11:28,あ?? スーにょ????ダン??ダン??ダン??シャーン??スにょ??スにょ??スにょ??スにょ??スにょ??スにょ??ス???にょ???スにょ??スにょ??スにょ??スにょ??スにょ??スにょ??ス???にょ???,https://twitter.com/skytomo221/status/1415860965808033793,1,0,4,0
2021-7-16 11:39,@SenryuChanBot えぇ……,https://twitter.com/skytomo221/status/1415863728189304838,1,1,1,0
2021-7-14 10:42,Verifying myself: I am skytomo on https://t.co/EJaHB0m472. 3pnbm6XIeOkBjkonVB_dQC92Ad25j6jf9yO4 / https://t.co/OYTf8fzGjd,https://twitter.com/skytomo221/status/1415124409342316550,0,0,1,0
2021-7-13 22:53,Konsole上でw3mを使ったときは画像表示できないのか……,https://twitter.com/skytomo221/status/1414946164949069832,0,0,3,0
2021-7-14 22:34,@Mooncat02071 おやすみなさい～,https://twitter.com/skytomo221/status/1415303570690215940,0,0,0,0
2021-7-13 22:34,@Lycolia 実は負の進数は案外うまくいきます。-2進数なら、1の位、-2の位、4の位、-8の位…-2進数に変換するときも、正の進数のときと同じ方法でできます（ただし余りが正の数になるように気をつける必要があります）そして、-2進数を使えば（計算量が多いけど）2の補数を使わなくても負数表現ができますね～ https://t.co/6ELYsICE8U,https://twitter.com/skytomo221/status/1414941420776009734,0,0,0,0
2021-7-14 7:09,おはようございます,https://twitter.com/skytomo221/status/1415071013214117888,1,0,2,0
2021-7-14 11:36,Out Of Memory（OOM）のことらしい,https://twitter.com/skytomo221/status/1415138077547188227,0,0,2,0
2021-7-16 11:31,なんか昨日、TLにGolangに関するツイートがたくさん流れてきたのですが、今熱いのですか？,https://twitter.com/skytomo221/status/1415861614167814147,0,0,1,0
2021-7-16 11:12,あっ https://t.co/4j7rv9tWmo,https://twitter.com/skytomo221/status/1415856868237332482,0,0,6,0
2021-7-15 14:26,すごい雷の音だ……,https://twitter.com/skytomo221/status/1415543276258533382,0,0,5,0
2021-7-14 7:12,@Mafuyu_7se おおーつよつよだー！おめでとうございます??,https://twitter.com/skytomo221/status/1415071722584166403,1,0,1,0
2021-7-15 8:59,そういえば、Konsole上のw3mで画像が表示できるようになりました～?? https://t.co/AvbJLP8hqN,https://twitter.com/skytomo221/status/1415461073478504456,0,0,6,0
2021-7-16 11:10,CPU使用率おかしいでしょ、これ https://t.co/cUx98VYnCV,https://twitter.com/skytomo221/status/1415856396902440964,0,0,4,0
2021-7-15 15:19,?????? https://t.co/fSa0z3U5sc,https://twitter.com/skytomo221/status/1415556707602747394,0,0,12,0
2021-7-16 8:26,@mizuwumi ところでふつうはなんて読むんですか？,https://twitter.com/skytomo221/status/1415814956583297026,1,0,2,0
2021-7-15 12:33,@sksat_tty おはようございます,https://twitter.com/skytomo221/status/1415514772175425537,0,0,2,0
2021-7-13 12:29,@samesamesaikha おめでとうございます！??????,https://twitter.com/skytomo221/status/1414789160645185539,1,0,1,0
2021-7-11 11:01,あいまいもこもこ,https://twitter.com/skytomo221/status/1414042181145268224,1,1,5,0
2021-7-11 22:08,@Lycolia 0.1 + 0.2 == 0.3&gt;&gt;&gt; Falseってやつだ……,https://twitter.com/skytomo221/status/1414209992970801157,1,0,1,0
2021-7-13 8:57,今日も一日 https://t.co/hPaUgRDxh3,https://twitter.com/skytomo221/status/1414735820506886152,0,1,8,0
2021-7-11 22:21,"&gt; Your CPU does not support the CX16 instruction, which is required by this version of Julia! This is often due to running inside of a virtualized environment.",https://twitter.com/skytomo221/status/1414213359063355396,1,0,0,0
2021-7-12 22:28,@KATANKUN_COCOA 例えば (1) は、log? 4 → log? √162 → log? 9 → log? √811/2log? 50 → log? √50…みたいに揃えると比較できますね,https://twitter.com/skytomo221/status/1414577448876789761,0,0,2,0
2021-7-11 22:10,@naraz__mono かわいい,https://twitter.com/skytomo221/status/1414210589405052932,1,0,1,0
2021-7-11 22:21,お使いのCPUは、このバージョンのJuliaで必要なCX16命令をサポートしていません。これは多くの場合、仮想化環境内で実行されていることが原因です。そんなことあるんですね…,https://twitter.com/skytomo221/status/1414213378688442374,0,0,0,0
2021-7-9 23:59,GitHub Copilotくんの15の夜「盗んだAPI Keyで天気を取得」,https://twitter.com/skytomo221/status/1413513025416437765,0,0,8,0
2021-7-7 22:16,@mizuwumi たしかに…でもとても大きな数になりそう,https://twitter.com/skytomo221/status/1412762342157287424,0,0,2,0
2021-7-11 22:33,@Lycolia おおー……お金とか厳密な計算とかは今みたいに小数点を固定して計算するか、10進数で管理（C#ならDecimal構造体、JavaならBigDecimalクラス、JavaScriptならよく知らないけどdecimal.js……）するしかないですよね。,https://twitter.com/skytomo221/status/1414216297785696256,1,0,1,0
2021-7-11 22:23,@Lycolia あちゃー…そんなに不正確なのに、仕事に使って大丈夫なんですか？,https://twitter.com/skytomo221/status/1414213802837504003,1,0,1,0
2021-7-8 0:09,@kawason0708 お誕生日おめでとうございます！,https://twitter.com/skytomo221/status/1412790839789572101,1,0,1,0
2021-7-13 9:08,昨日の日記https://t.co/XmoNdXuw8B https://t.co/gTkqi5W1hU,https://twitter.com/skytomo221/status/1414738394337345537,1,0,5,0
2021-7-11 22:18,Juliaさんさー https://t.co/52nGwVcNrB,https://twitter.com/skytomo221/status/1414212421875494915,1,0,1,0
2021-7-11 11:01,mozcくん漢字変換がんばれ?ってなってる https://t.co/p0SppZQO4R,https://twitter.com/skytomo221/status/1414042043395969026,0,0,7,0
2021-7-8 9:08,るるさんのアイコンかわいい,https://twitter.com/skytomo221/status/1412926538790490114,0,0,1,0
2021-7-12 8:31,おはねむ…,https://twitter.com/skytomo221/status/1414366863979552768,0,0,7,0
2021-7-8 8:25,おはよう??今日もいい一日を！,https://twitter.com/skytomo221/status/1412915641678327808,0,0,5,0
2021-7-13 9:08,https://t.co/4BpbRKh33R,https://twitter.com/skytomo221/status/1414738403552227337,0,0,6,0
2021-7-7 11:54,日本語で表記揺れを直すライブラリとかないのかな（「ネコ 猫 ねこ」を「ねこ ねこ ねこ」とかにしたい）,https://twitter.com/skytomo221/status/1412605848119959558,1,0,5,0
